Ancient Watcher,Can't Attack.,Neutral,Rare,Minion,2,4,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/ancient-watcher1-200x286.png
Angry Chicken,Enrage: +5 Attack.,Neutral,Rare,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/angry-chicken1-200x286.png
Anima Golem,"At the end of each turn, destroy this minion if it's your only one.",Warlock,Epic,Minion,6,9,9,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/12/anima-golem1-200x286.png
Animal Companion,Summon a random Beast Companion.,Hunter,Free,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/animal-companion1-200x286.png
Animated Armor,Your hero can only take 1 damage at a time.,Mage,Rare,Minion,4,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2015/11/animated-armor-hd-200x286.png
Animated Berserker,"After you play a minion, deal 1 damage to it.",Warrior,Common,Minion,1,1,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/07/animated-berserker-1-200x286.png
Annoy-o-Module,"Magnetic 

 Divine Shield 

 Taunt",Paladin,Rare,Minion,4,2,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/annoy-o-module-200x286.png
Annoy-o-Tron,"Taunt, Divine Shield",Neutral,Common,Minion,2,1,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/11/annoy-o-tron1-200x286.png
Cornered Sentry,Taunt. Battlecry:  Summon three 1/1 Raptors for your opponent.,Warrior,Rare,Minion,2,2,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/03/cornered-sentry-200x286.png
Corpse Raiser,"Battlecry : Give a friendly minion "" Deathrattle:  Resummon this minon.""",Neutral,Rare,Minion,5,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/08/corpse-raiser-1-200x286.png
Corpse Widow,Your  Deathrattle  cards cost (2) less.,Hunter,Rare,Minion,5,4,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/08/corpse-widow-1-200x286.png
Corpsetaker,"Battlecry:  Gain  Taunt  if your deck has a  Taunt  minion.

Repeat for  Divine Shield, Lifesteal, Windfury.",Neutral,Epic,Minion,4,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/07/corpsetaker-2-200x286.png
Corridor Creeper,Costs (1) less whenever a minion dies while this is in your hand.,Neutral,Epic,Minion,7,2,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/02/corridor-creeper-nerf-200x286.png
Corrosive Sludge,Battlecry:  Destroy your opponent's weapon.,Neutral,Common,Minion,5,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/12/corrosive-sludge-200x286.png
Corrupted Healbot,Deathrattle:  Restore 8 Health to the enemy hero.,Neutral,Rare,Minion,5,6,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/03/corrupted-healbot2-200x286.png
Corrupted Seer,Battlecry:  Deal 2 damage to all non-Murloc minions.,Neutral,Rare,Minion,6,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/04/corrupted-seer-200x286.png
Corrupting Mist,Corrupt every minion. Destroy them at the start of your next turn.,Warlock,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/03/corrupting-mist-1-200x286.png
Corruption,"Choose an enemy minion. At the start of your turn, destroy it.",Warlock,Free,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/corruption-200x286.png
Cosmic Anomaly,Spell Damage +2,Mage,Common,Minion,4,4,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Cosmic-Anomaly-200x284.png
Counterfeit Coin,Gain 1 Mana Crystal this turn only.,Rogue,Rare,Spell,0,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/11/counterfeit-coin-1-200x286.png
Counterspell,"Secret: When your opponent casts a spell, Counter it.",Mage,Rare,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/counterspell-200x286.png
Countess Ashmore,"Battlecry:  Draw  Rush ,  Lifesteal  and  Deathrattle  card from your deck.",Neutral,Legendary,Minion,7,6,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/countess-ashmore-hd-200x286.png
Crackle,Deal 3-6 damage. Overload: (1),Shaman,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/11/crackle-200x286.png
Crackling Razormaw,Battlecry:   Adapt  a friendly Beast.,Hunter,Common,Minion,2,3,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/03/crackling-razormaw-200x286.png
Crazed Alchemist,Battlecry: Swap the Attack and Health of a minion.,Neutral,Rare,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/crazed-alchemist-200x286.png
Crazed Chemist,Combo:  Give a friendly minion +4 Attack.,Rogue,Common,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/crazed-chemist-200x286.png
Crazed Worshipper,"Taunt.  Whenever this minion takes damage, give your C'Thun +1/+1  (wherever it is).",Neutral,Epic,Minion,5,3,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/04/crazed-worshipper-200x286.png
Crowd Favorite,"Whenever you play a card with  Battlecry , gain +1/+1.",Neutral,Epic,Minion,4,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2015/08/crowd-favorite-hd-200x286.png
Crowd Roaster,"Battlecry:  If you're holding a Dragon, deal 7 damage to an enemy minion.",Neutral,Epic,Minion,7,7,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/crowd-roaster-card-art-200x286.png
Cruel Dinomancer,Deathrattle:  Summon a random minion you discarded this game.,Warlock,Rare,Minion,6,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/03/cruel-dinomancer-200x286.png
Cruel Taskmaster,Battlecry: Deal 1 damage to a minion and give it +2 Attack.,Warrior,Common,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cruel-taskmaster-200x286.png
Crush,"Destroy a minion. If you have a damaged minion, this costs (4) less.",Warrior,Epic,Spell,7,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/12/crush-200x286.png
Crushing Hand,Deal 8 damage to a minion.  Overload:  (3),Shaman,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/12/crushing-hand-200x286.png
Crushing Walls,Destroy your opponent's left and right-most minions.,Hunter,Epic,Spell,7,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/11/crushing-walls-1-200x286.png
Cryomancer,Battlecry:  Gain +2/+2 if an enemy is  Frozen.,Mage,Common,Minion,5,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/11/cryomancer-200x286.png
Cryostasis,Give a minion +3/+3 and  Freeze  it.,Shaman,Epic,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/07/cryostasis-1-200x286.png
Crypt Lord,"Taunt 

After you summon a minion, gain +1 Health.",Druid,Common,Minion,3,1,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/08/crypt-lord-200x286.png
Crystal Lion,"Divine Shield 

Costs (1) less for each Silver Hand Recruit you control.",Paladin,Rare,Minion,6,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/12/crystal-lion-200x286.png
Crystal Power,Choose One  - Deal 2 damage to a minion; or Restore 5 Health.,Druid,Common,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Crystal-Power-200x276.png
Crystal Stag,"Rush. Battlecry:  If you've restored 5 Health this game, summon a copy of this.",Druid,Epic,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Crystal-Stag-200x276.png
Crystalline Oracle,Deathrattle:  Copy a card from your opponent's deck and add it to your hand.,Priest,Rare,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/03/crystalline-oracle-1-200x286.png
Crystallizer,Battlecry:  Deal 5 damage to your hero. Gain 5 Armor.,Neutral,Epic,Minion,1,1,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/crystallizer-200x286.png
Crystalsmith Kangor,"Divine Shield, Lifesteal 

Your healing is doubled.",Paladin,Legendary,Minion,2,1,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Crystalsmith-Kangor-200x282.png
Crystalsong Portal,"Discover  a Druid minion. If your hand has no minions, keep all 3.",Druid,Epic,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Crystalsong-Portal-1-200x276.png
Crystalweaver,Battlecry:  Give your Demons +1/+1.,Warlock,Common,Minion,4,5,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/11/crystalweaver-200x286.png
Crystology,Draw two 1-Attack minions from your deck.,Paladin,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/crystology-200x286.png
C'Thun,Battlecry:  Deal damage equal to this minion's Attack randomly split among all enemies.,Neutral,Legendary,Minion,10,6,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/03/cthun2-200x286.png
C'Thun's Chosen,"Divine Shield 

 Battlecry:  Give your C'Thun +2/+2  (wherever it is).",Neutral,Common,Minion,4,4,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/03/cthuns-chosen-hd-200x286.png
Cult Apothecary,"Battlecry:  For each enemy minion, restore 2 Health to your hero.",Neutral,Common,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/03/cult-apothecary-hd-200x286.png
Cult Master,"Whenever one of your other minions dies, draw a card.",Neutral,Common,Minion,4,4,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cult-master-200x286.png
Cult Sorcerer,"Spell Damage +1 

After you cast a spell, give your C'Thun +1/+1  (wherever it is).",Mage,Rare,Minion,2,3,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/04/cult-sorcerer-200x286.png
Curio Collector,"Whenever you draw a card, gain +1/+1.",Mage,Rare,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/curio-collector-200x286.png
Curious Glimmerroot,Battlecry:  Look at 3 cards. Guess which one started in your opponent's deck to get a copy of it.,Priest,Epic,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/03/curious-glimmerroot-200x286.png
Curse of Rafaam,"Give your opponent a 'Cursed!' card.

While they hold it, they take 2 damage on their turn.",Warlock,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2015/11/curse-of-rafaam-hd-200x286.png
Curse of Weakness,"Echo 

Give all enemy minions -2 Attack until your next turn.",Warlock,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/curse-of-weakness-200x286.png
Cursed Blade,Double all damage dealt to your hero.,Warrior,Rare,Weapon,1,2,,3,https://www.hearthstonetopdecks.com/wp-content/uploads/2015/11/cursed-blade-hd-200x286.png
Breath of Sindragosa,Deal 2 damage to a random enemy minion and  Freeze  it.,Mage,Common,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/08/breath-of-sindragosa-1-200x286.png
Bright-Eyed Scout,Battlecry:  Draw a card. Change its Cost to (5).,Neutral,Epic,Minion,4,3,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/03/bright-eyed-scout-200x286.png
Bring It On!,"Gain 10 Armor.

Reduce the Cost of minions in your opponent's hand by (2).",Warrior,Epic,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/07/bring-it-on-1-200x286.png
Bronze Gatekeeper,"Magnetic 

 Taunt",Neutral,Common,Minion,3,1,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/bronze-gatekeeper-200x286.png
Bronze Herald,Deathrattle:  Add two 4/4 Dragons to your hand.,Paladin,Common,Minion,3,3,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Bronze-Herald-1-200x276.png
Brrrloc,Battlecry: Freeze  an enemy.,Shaman,Common,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/08/brrrloc-200x286.png
Buccaneer,"Whenever you equip a weapon, give it +1 Attack.",Rogue,Common,Minion,1,2,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2015/08/buccaneer-hd-200x286.png
Bull Dozer,Divine Shield,Neutral,Common,Minion,9,9,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/bull-dozer-200x286.png
Burgle,Add 2 random class cards to your hand (from your opponent's class).,Rogue,Rare,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2015/08/burgle-hd-200x286.png
Burgly Bully,"Whenever your opponent casts a spell, add a Coin to your hand.",Neutral,Epic,Minion,5,4,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/11/burgly-bully-1-200x286.png
Burly Rockjaw Trogg,"Whenever your opponent casts a spell, gain +2 Attack.",Neutral,Common,Minion,4,3,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/11/burly-rockjaw-trogg-200x286.png
Burly Shovelfist,Rush,Neutral,Common,Minion,9,9,9,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Burly-Shovelfist-200x280.png
"Bwonsamdi, the Dead",Battlecry:  Draw 1-Cost minions from your deck until your hand is full.,Priest,Legendary,Minion,7,7,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/bwonsamdi-the-dead-card-art-200x286.png
Cabal Shadow Priest,Battlecry: Take control of an enemy minion that has 2 or less Attack.,Priest,Epic,Minion,6,4,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cabal-shadow-priest-200x286.png
Cabalist's Tome,Add 3 random Mage spells to your hand.,Mage,Epic,Spell,5,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/03/cabalists-tome-hd-200x286.png
Cairne Bloodhoof,Deathrattle: Summon a 4/5 Baine Bloodhoof.,Neutral,Legendary,Minion,6,4,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cairne-bloodhoof-200x286.png
Call in the Finishers,Summon four 1/1 Murlocs.,Shaman,Common,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/11/call-in-the-finishers-200x286.png
Call of the Void,Add a random Demon to your hand.,Warlock,Common,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/09/call-of-the-void-200x286.png
Call of the Wild,Summon all three Animal Companions.,Hunter,Epic,Spell,9,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/04/call-of-the-wild2-200x286.png
Call Pet,"Draw a card. If it's a Beast, it costs (4) less.",Hunter,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/12/call-pet-200x286.png
Call to Adventure,Draw the lowest Cost minion from your deck. Give it +2/+2.,Paladin,Rare,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Call-to-Adventure-200x276.png
Call to Arms,Recruit  3 minions that cost (2) or less.,Paladin,Epic,Spell,5,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/05/call-to-arms-nerf-200x286.png
Candleshot,Immune  while attacking.,Hunter,Common,Weapon,1,1,,3,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/12/candleshot-200x286.png
Cannon Barrage,Deal 3 damage to a random enemy. Repeat for each of your Pirates.,Rogue,Epic,Spell,6,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/cannon-barrage-card-art-200x286.png
Captain Greenskin,,Neutral,Legendary,Minion,5,5,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/captain-greenskin-200x286.png
Captain Hooktusk,Battlecry:  Summon 3 Pirates from your deck. Give them  Rush.,Rogue,Legendary,Minion,8,6,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/captain-hooktusk-card-art-200x286.png
Captain's Parrot,Battlecry:  Put a random Pirate from your deck into your hand.,Neutral,Epic,Minion,2,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/captains-parrot-hd-200x286.png
Captured Jormungar,,Neutral,Common,Minion,7,5,9,,https://www.hearthstonetopdecks.com/wp-content/uploads/2015/08/captured-jormungar-hd-200x286.png
Carnivorous Cube,"Battlecry:  Destroy a friendly minion.

 Deathrattle:  Summon 2 copies of it.",Neutral,Epic,Minion,5,4,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/11/carnivorous-cube-1-200x286.png
Carrion Drake,"Battlecry:  If a minion died this turn, gain  Poisonous.",Hunter,Rare,Minion,5,3,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/carrion-drake-200x286.png
Carrion Grub,,Hunter,Common,Minion,3,2,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/04/carrion-grub-200x286.png
Cat Trick,"Secret:  After your opponent casts a spell, summon a 4/2 Panther with  Stealth .",Hunter,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/08/cat-trick-200x286.png
Cataclysm,Destroy all minions. Discard your hand.,Warlock,Epic,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/11/cataclysm-200x286.png
Cathedral Gargoyle,"Battlecry:  If you're holding a Dragon, gain  Taunt  and  Divine Shield .",Paladin,Epic,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/cathedral-gargoyle-200x286.png
Catrina Muerte,"At the end of your turn, summon a friendly minion that died this game.",Priest,Legendary,Minion,8,6,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Catrina-Muerte-200x276.png
Cauldron Elemental,Your other Elementals have +2 Attack.,Neutral,Common,Minion,8,7,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/cauldron-elemental-200x286.png
Cave Hydra,Also damages the minions next to whomever this attacks.,Hunter,Common,Minion,3,2,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/12/cave-hydra-200x286.png
Cavern Shinyfinder,Battlecry:  Draw a weapon from your deck.,Rogue,Common,Minion,2,3,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/12/cavern-shinyfinder-200x286.png
Celestial Dreamer,"Battlecry:  If a friendly minion has 5 or more Attack, gain +2/+2.",Druid,Rare,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2016/11/celestial-dreamer-200x286.png
Celestial Emissary,Battlecry:  Your next spell this turn has  Spell Damage +2.,Mage,Rare,Minion,2,2,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Celestial-Emissary-200x277.png
Cenarius,Choose One  - Give your other minions +2/+2; or Summon two 2/2 Treants with  Taunt.,Druid,Legendary,Minion,9,5,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cenarius-200x286.png
Chameleos,"Each turn this is in your hand, transform it into a card your opponent is holding.",Priest,Legendary,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/chameleos-hd-200x286.png
Charge,Give a friendly minion Charge. It can't attack heroes this turn.,Warrior,Free,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/charge2-200x286.png
Charged Devilsaur,"Charge 

 Battlecry:  Can't attack heroes this turn.",Neutral,Epic,Minion,8,7,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/03/charged-devilsaur-200x286.png
Charged Hammer,Deathrattle:  Your Hero Power becomes 'Deal 2 damage.',Shaman,Epic,Weapon,4,2,,4,https://www.hearthstonetopdecks.com/wp-content/uploads/2015/08/charged-hammer-hd-200x286.png
Cheap Shot,"Echo 

Deal 2 damage to a minion.",Rogue,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/cheap-shot-hd-200x286.png
Cheat Death,"Secret:  When a friendly minion dies, return it to your hand. It costs (2) less.",Rogue,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/11/cheat-death-200x286.png
